FileName, Age, Grupo, ShortName
GSM252982, Prepupa, Pre, Pre82
GSM252983, Prepupa, Pre, Pre83
GSM252984, Prepupa, Pre, Pre84
GSM252985, Prepupa, Pre, Pre85
GSM252986, Prepupa, Pre, Pre86
GSM252987, Prepupa, Pre, Pre87
GSM252988, Prepupa, Pre, Pre88
GSM252989, Pupa 0h, P0, P0_89
GSM252990, Pupa 0h, P0, P0_90
GSM252991, Pupa 0h, P0, P0_91
GSM252992, Pupa 0h, P0, P0_92
GSM252993, Pupa 0h, P0, P0_93
GSM252994, Pupa 0h, P0, P0_94
GSM252995, Pupa 0h, P0, P0_95
GSM252996, Pupa 0h, P5, P5_96
GSM252997, Pupa 0h, P5, P5_97
GSM252998, Pupa 0h, P5, P5_98
