"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","141200_at","Hmg-2","37407","High mobility group protein 2",-0.021630034997778,5.30933840364149,-0.176010285460701,0.862127314804758,0.939196271734274,-6.92661985335504
"2","141204_at","GCS2beta","35056","Glucosidase 2 beta subunit",-0.27251975234092,6.4096045165812,-1.49253206787541,0.151794975792149,0.355506799982265,-5.84475591396189
"3","141205_at","Naa60","39142","N(alpha)-acetyltransferase 60",0.110054613223127,6.07520008820057,0.621510489695717,0.541566867378499,0.735698764411211,-6.74343780677005
"4","141217_at","Dak1","43165","Dak1",-0.363024438164257,6.47182684574118,-2.33763842985078,0.0303662988399221,0.124022840941986,-4.43921801200877
"5","141218_at","Hrb27C","33968","Heterogeneous nuclear ribonucleoprotein at 27C",0.0110223576067576,3.1042755847444,0.0734489576234152,0.942207960950494,0.974394137250493,-6.93994223406025
"6","141219_at","CG7099","34753","uncharacterized protein",0.0503775834779745,5.28966394282203,0.400604178141065,0.693130193519735,0.843749355824261,-6.85945834583803
"7","141223_at","CG7810","34139","uncharacterized protein",-0.296226430328309,5.77508388797543,-1.96154967420977,0.0644655231018927,0.203963525237672,-5.11635708016569
"8","141224_at","ArfGAP3","40487","ADP-ribosylation factor GTPase activating protein 3",0.0805188058141679,5.58359461983452,0.368107555075154,0.716816396429034,0.858072711295135,-6.87237805501345
"9","141226_at","GlyS","41823","Glycogen synthase",-0.254629294377027,7.0157773505973,-1.77671971391438,0.0914477784593922,0.254317562213526,-5.4204896011164
"10","141227_at","CG8370","36761","uncharacterized protein",0.444882344791695,7.60890336143131,4.17356925581993,0.000504646567949303,0.00706689729616644,-0.503793797158881
"11","141228_at","Iru","41080","Iruka",0.242463172023375,7.43163529756742,2.18833644017057,0.0411916023572229,0.153058202040533,-4.71659164709613
"12","141229_at","Arp6","32514","Actin-related protein 6",-0.200275381253058,7.28626665298169,-1.53910222629053,0.140082952163413,0.339270127072639,-5.77910113500016
"13","141231_at","Rpn7","42641","Regulatory particle non-ATPase 7",0.670662153419187,8.92632427360784,6.07505519193726,7.29307607481133e-06,0.000291317872099408,3.71539156433795
"14","141234_at","CG11367","40491","uncharacterized protein",0.0715479100879168,5.58593491795482,0.488080044196245,0.631015361343216,0.808374244642801,-6.81936000665212
"15","141236_at","Tmtc3","37401","Transmembrane and tetratricopeptide repeat containing 3",-0.325177233561061,5.90904806674176,-2.62165176944345,0.0166883311137375,0.0827511039363948,-3.88496037593711
"16","141237_at","CG9705","39875","uncharacterized protein",0.0500729933348403,7.12930214340944,0.259930829759747,0.797681528352527,0.904036854670786,-6.90760087685187
"17","141240_at","CG1103","40547","uncharacterized protein",-0.313265233074596,5.32599953720985,-1.07099350103251,0.297439063654741,0.523813707214021,-6.36222956612655
"18","141241_at","CCT7","41054","Chaperonin containing TCP1 subunit 7",0.168060245918091,6.49936357716119,1.23480698292691,0.23178752635894,0.453578328617446,-6.17826461421615
"19","141242_at","Jabba","37164","jabba",0.146605055424652,7.12979316105098,1.12986091183199,0.272440300870562,0.499575041572362,-6.29874408008256
"20","141245_at","Mcm2","40973","Minichromosome maintenance 2",-0.0520108127728189,4.18211796926678,-0.31456196731024,0.756483810532157,0.881274027343341,-6.89131378922686
"21","141246_at","Sf3a2","39456","Splicing factor 3a subunit 2",0.0108638821499598,8.06199922246381,0.100735308223553,0.920804107325647,0.965099348640146,-6.93746600795602
"22","141248_at","dlp","39596","dally-like",-0.24533087940518,6.66013894775385,-1.06666487288924,0.299340709091433,0.52526167135263,-6.36677931664023
"23","141251_at","GILT1","41650","Gamma-interferon-inducible lysosomal thiol reductase 1",0.0466995177360756,6.49322477994212,0.197633606366938,0.845407142279705,0.929430787919125,-6.92241650390586
"24","141253_at","Elp2","36123","Elongator complex protein 2",0.227750024791276,4.51824051967634,1.66643713617796,0.111842263024508,0.296459307335008,-5.59169845523379
"25","141254_at","CG2182","40697","uncharacterized protein",0.142366338752341,8.18408634596715,1.19441753989339,0.246848893530609,0.471405987911044,-6.22572320966555
"26","141256_at","Xpc","36697","Xeroderma pigmentosum, complementation group C",-0.0256614045979218,5.17040709733213,-0.135279595855376,0.893797703162216,0.9540790744722,-6.93321976812504
"27","141257_at","Gs1","33172","Glutamine synthetase 1",-0.842831261723425,4.71430994514226,-4.34505163081898,0.000340622351118228,0.00535980807644657,-0.115514493950499
"28","141258_at","l(2)k09848","35536","lethal (2) k09848",0.128712132269006,3.52334354307642,0.661658736140197,0.516045681153563,0.716287345076085,-6.71715535441085
"29","141260_at","CG4572","42360","uncharacterized protein",0.186169133662999,5.85658505603498,0.877698881856092,0.390948164266398,0.608948014715402,-6.54914669093777
"30","141262_at","mats","42634","mob as tumor suppressor",-0.118436822724648,5.36267137747425,-0.702395680914398,0.490853367733302,0.700420427158794,-6.68888433007762
"31","141264_at","stg","43466","string",0.0586380515419407,5.09837054725676,0.264068606432742,0.794538080664718,0.902367859688099,-6.90647485137122
"32","141267_at","Wdr62","33367","WD repeat domain 62",-0.686032347033854,4.41243536749073,-3.94407390583658,0.000854685364087297,0.0102419796129794,-1.02247600513784
"33","141268_at","CG32486","38367","uncharacterized protein",0.0162130418745452,6.16074670310814,0.150053388273104,0.88228615704312,0.948936046243835,-6.9310249834903
"34","141271_at","Dmtn","40792","Dementin",0.0342576068852498,6.343755134694,0.235813267605149,0.816072414574186,0.91323901335228,-6.91381245333251
"35","141276_at","Sodh-2","41313","Sorbitol dehydrogenase-2",-0.427981867703942,5.60805667152878,-1.02875064949579,0.316371572024982,0.543539212152837,-6.40592898241102
"36","141278_at","gw","43808","gawky",0.251976685716194,10.1326829794791,1.39514273675371,0.178888320063823,0.390202327752679,-5.97684715565099
"37","141281_at","Spt6","44000","Spt6",0.0677092549607732,5.76876101829698,0.509004741315981,0.616543273421361,0.796218434827047,-6.80862580079347
"38","141283_at","CG34310","5740536","uncharacterized protein",-0.803729684255709,5.87599578481644,-3.61402894214714,0.00182144884910327,0.01700807431825,-1.763065169389
"39","141292_at","CG1236","40708","uncharacterized protein",-0.531583203459945,5.4075376559627,-2.28526398565126,0.0338226092100636,0.133069526796365,-4.53771017416221
"40","141298_at","CG9186","38150","uncharacterized protein",0.130165409043006,7.15076205120433,1.07061529766381,0.297604867033279,0.523813707214021,-6.36262774078947
"41","141301_at","tok","42944","tolkin",0.15285349902515,5.89990443068135,0.930956374579533,0.363424308061086,0.584568406031144,-6.50101098822883
"42","141309_at","CG7611","40386","uncharacterized protein",0.0624195322954568,7.1333033433704,0.411102521575396,0.685545405890208,0.838990888229888,-6.85505490773506
"43","141311_at","verm","40149","vermiform",-0.691893884181896,4.35162657490719,-1.81987357973328,0.0843915318565533,0.241452205552487,-5.35135351324276
"44","141315_at","CG16926","50205","uncharacterized protein",-1.06844174637946,5.59686567797646,-3.76975265022318,0.001275091815555,0.0131912376314251,-1.4147260882888
"45","141325_at","CG2147","31759","uncharacterized protein",-0.239485412672552,5.35131856291353,-1.81416104246183,0.085297479191684,0.243127403523571,-5.3605728127888
"46","141326_at","Akap200","34170","A kinase anchor protein 200",-0.0838168490456024,11.7610258703707,-0.843175653056666,0.409502533035355,0.626233254067546,-6.57895230368982
"47","141328_at","mthl8","38013","methuselah-like 8",0.31875807904971,3.96595508257229,1.01782933485306,0.321402479251957,0.549023009115314,-6.41697126349784
"48","141329_at","poe","46243","purity of essence",0.305190948144846,9.23922721885332,2.26855095267638,0.0349997578457352,0.136026085897749,-4.56887397098097
"49","141331_at","Tsp42Ep","35626","Tetraspanin 42Ep",-0.215052217332343,4.60141272873329,-0.850561390158266,0.405486187221463,0.62262588064545,-6.57266893740675
"50","141332_at","Nhe1","33167","Na[+]/H[+] hydrogen exchanger 1",-0.0807677800803512,5.58380037022318,-0.49717125524807,0.624708383021307,0.803515791399499,-6.81475021350262
"51","141333_at","Saf-B","42958","Scaffold attachment factor B",0.0378079747330755,6.5745123731321,0.178620883492174,0.860104965350942,0.939127517216898,-6.92613811242222
"52","141339_at","Pen","34338","Pendulin",-0.221485360515402,7.25977335789782,-1.04826881330688,0.307520043359234,0.534074664674612,-6.38593243968617
"53","141345_at","CG5844","41533","uncharacterized protein",-0.201934238821812,6.37115334718998,-2.10178338501098,0.0489825169085285,0.170522842346401,-4.87239227415236
"54","141346_at","CG13397","46386","uncharacterized protein",0.0904156561799825,5.68974182372462,0.855155178423938,0.403000956020232,0.620466139996888,-6.56873518771287
"55","141348_at","Nrx-1","42646","Neurexin 1",0.21426652899974,8.19634830550722,1.18748219363273,0.249508034453091,0.471820189271483,-6.23373605193778
"56","141350_at","CG3756","33712","uncharacterized protein",-0.266939989754,5.59875226966972,-1.68164102061647,0.108817862137659,0.289777936581396,-5.56857426586033
"57","141352_at","Dtg","41558","Dpp target gene",-0.0250921396799431,6.70714957138176,-0.0963682978099415,0.924225939042823,0.96622093809057,-6.93791441286226
"58","141354_at","CG10132","35239","uncharacterized protein",0.674030733036539,6.8312340469445,3.91607482508809,0.000911433391951998,0.0107429608002211,-1.0856071371335
"59","141355_at","CG8031","41601","uncharacterized protein",0.154904264394075,8.38716712667763,0.873468859496369,0.393191534278459,0.61092320507015,-6.55285808226885
"60","141356_at","CG7430","39988","uncharacterized protein",-0.0791009704732319,6.33510709199039,-0.640659098692197,0.529310169391622,0.727320506266409,-6.73109893156778
"61","141358_at","RpS10b","32953","Ribosomal protein S10b",-0.308600170506173,9.06411636828152,-2.22569385315755,0.0381927192229427,0.144910633885466,-4.64818373979785
"62","141359_at","CG3702","33628","uncharacterized protein",0.0612197518655542,6.35384092191134,0.427600527416683,0.673695103600374,0.832955037558742,-6.84790897451232
"63","141361_at","Ctl2","43440","Choline transporter-like 2",0.263891623598038,7.19686276654754,1.97155094754431,0.063231292779197,0.202283868779723,-5.099320709176
"64","141363_at","Sec24CD","33409","Secretory 24CD",-0.0590790367506155,4.94254944224293,-0.322305868611295,0.750700877125484,0.878362783813218,-6.88875687893915
"65","141370_at","ppl","40349","pumpless",0.0164846488857116,5.13224563805674,0.124572758598859,0.902155607374876,0.955301740357196,-6.93466859172151
"66","141373_at","Cht10","3355116","Chitinase 10",-0.714390074577601,3.15645699675642,-1.62100230088482,0.121309603614531,0.309121156865024,-5.6598639561507
"67","141374_at","AttA","36636","Attacin-A",-0.0964116025017683,6.1141188143163,-0.268808080626345,0.790941950766434,0.899465816688123,-6.90516339481997
"68","141376_at","Best1","53431","Bestrophin 1",-0.0219479243381757,3.43630962692073,-0.168565087971155,0.867900193662686,0.941129824373447,-6.92795490124207
"69","141378_at","Sep4","32646","Septin 4",-0.050705007583673,3.99874468262494,-0.37971889960438,0.708317752455897,0.851995757450088,-6.86788523792903
"70","141381_at","CG30069","36573","uncharacterized protein",0.267513884747956,4.55436403646996,1.26487572919194,0.221039606967405,0.441158854710795,-6.14206142230531
"71","141387_at","mge","38459","maggie",-0.398186905824698,7.2559213797433,-3.23458447658983,0.00431467887276809,0.0315751054404097,-2.59910726817472
"72","141388_at","dap","36001","dacapo",-0.0394216138771739,5.75620701511039,-0.141177432830963,0.889199138200994,0.952039032615483,-6.93237078749185
"73","141392_at","CG16791","42531","uncharacterized protein",-0.136561773340493,5.9417013198606,-0.848248925289352,0.406740959973641,0.623338778772929,-6.57464171542466
"74","141396_at","Fbp2","34259","Fat body protein 2",-1.06658621390662,8.19722875870842,-1.58036325785048,0.130342414440976,0.324814173492714,-5.71962282767901
"75","141397_at","Cpr49Ac","36348","Cuticular protein 49Ac",0.395814124725076,5.17848794236911,1.43791946222437,0.166542246278469,0.37474235094965,-5.91970934683878
"76","141400_at","Ranbp9","41367","Ranbp9",0.132724087936825,5.74693238963026,0.961091985704508,0.3484433460799,0.571114401699208,-6.47262735636392
"77","141403_at","Traf-like","32611","TNF-receptor-associated factor-like",0.239499119513394,3.05804192824155,1.66389668438487,0.112354533751588,0.297269217175314,-5.59554709112913
"78","141404_at","Spn43Aa","45041","Serpin 43Aa",-0.962741607709883,6.23147289612016,-1.62713439139547,0.119993562503934,0.307851459198318,-5.65074685712108
"79","141407_at","Lsp1gamma","38015","Larval serum protein 1 gamma",-1.02554406456502,7.93914332294186,-1.52886973146133,0.142590016689261,0.3423112587632,-5.79366227196942
"80","141410_at","Cht5","41687","Chitinase 5",-0.738019199108627,5.14723810969555,-2.3939904312658,0.0270149770199186,0.114190366605716,-4.33187815639998
"81","141415_at","Pof","37947","Painting of fourth",0.0413398618007248,4.64432097271366,0.293620412428596,0.772195409301839,0.890571377105814,-6.89791995693179
"82","141417_at","Tango9","41450","Transport and Golgi organization 9",-0.385335879889885,8.33401558237624,-2.22980681585367,0.0378750778206449,0.144079060982866,-4.64061059207076
"83","141422_at","Csk","41398","C-terminal Src kinase",0.345046693778209,6.84354882978101,1.79983902547986,0.0876061787277696,0.247743726667714,-5.38359675256213
"84","141423_at","Dronc","39173","Death regulator Nedd2-like caspase",-0.294806648188083,6.494170597762,-2.28313264802642,0.0339706679896221,0.133382387593158,-4.54169159762456
"85","141427_at","CG17068","33024","uncharacterized protein",0.0355036213461037,6.43185849590628,0.212342120305999,0.834076121537951,0.922261793749768,-6.91928046393387
"86","141428_at","Tmhs","38251","Tetraspan membrane protein in hair cell stereocilia",-0.179434489771992,4.16881686879673,-0.780804979781854,0.444429391418499,0.6605575864184,-6.62997552204006
"87","141429_at","CG8300","31658","uncharacterized protein",-0.188477913690659,7.61811100022594,-1.62116185430556,0.121275207208426,0.309121156865024,-5.65962706452577
"88","141430_at","br","44505","broad",0.875711842752946,7.55059740101652,4.16107257817781,0.000519326813328368,0.00721056423946836,-0.532077222477043
"89","141436_at","CG3505","41777","uncharacterized protein",-0.496042073565319,3.90271139421501,-2.59940630168355,0.0175031548607849,0.0853204633552839,-3.92950470541066
"90","141437_at","CG5618","40241","uncharacterized protein",0.705283296265829,5.95465925335408,3.55270007806041,0.0020954326730675,0.0188917378299127,-1.89955912068931
"91","141439_at","CG32302","38293","uncharacterized protein",0.443723534583154,3.91838204525227,1.77265166056633,0.0921386571295011,0.255535947834566,-5.42694601621615
"92","141440_at","b","34791","black",-0.223104133829054,3.85605282850963,-1.47426858209104,0.156602797366668,0.362924774558049,-5.87006921960684
"93","141443_at","Oscillin","33783","oscillin",-0.0988063525714038,5.78344829224898,-0.789962576892653,0.439188850789146,0.654120732713404,-6.62271348533716
"94","141446_at","CG5447","43192","uncharacterized protein",0.321726824740748,6.24056440641338,1.03709411336518,0.312565921551446,0.540228119219926,-6.39742208613996
"95","141448_at","Ocrl","31157","Oculocerebrorenal syndrome of Lowe",-0.207283715209742,6.07191236051659,-1.48699719092002,0.153239048755777,0.357433498963192,-5.85245335512332
"96","141451_at","Fcp1","37925","TFIIF-interacting CTD phosphatase",0.106369422517087,5.55794252790359,0.666051817908468,0.513294482909825,0.7148837447209,-6.71418404449634
"97","141454_at","Fbl6","36201","F-box and leucine-rich repeat protein 6",0.0134569971352008,6.36783373086753,0.0721426895855807,0.943233884122752,0.97460577796028,-6.94004133117771
"98","141455_at","CG9328","35344","uncharacterized protein",-0.217860328651225,3.81124573004218,-1.64055429191787,0.117155505265671,0.304032891506109,-5.63070378915648
"99","141457_at","Mtor","36264","Megator",0.270444919221697,7.27359008791993,2.04801453526644,0.0544717250113896,0.183279347218195,-4.96720872745062
"100","141458_at","Mtp","35362","Microsomal triacylglycerol transfer protein",-0.259723185396715,6.59289592233512,-1.33655479177388,0.19697750884036,0.412607635771342,-6.05281285617081
"101","141459_at","p115","31698","p115",-0.130655363788216,5.48026325282695,-0.725737025423477,0.476745860258898,0.688659514869207,-6.67196329963077
"102","141461_at","Alas","37815","Aminolevulinate synthase",-0.152718819093188,6.06190085635408,-1.21300044114843,0.239829584974306,0.463230279641439,-6.20405566403422
"103","141464_at","pcx","31204","pecanex",0.499301453591153,5.14194835942167,3.41907949025172,0.00284114520430503,0.0230172777678346,-2.19529113767178
"104","141465_at","CG10026","35226","uncharacterized protein",-0.0740915196562524,3.18137723363771,-0.321225607343068,0.751506688646134,0.878948042515771,-6.88911725580788
"105","141467_at","px","37573","plexus",0.0224761853660977,5.29750096811677,0.0867590396011687,0.931760644197832,0.96923147443419,-6.93883119146602
"106","141470_at","CG8963","36913","uncharacterized protein",0.218060199576797,8.84152420484462,1.17238877656034,0.255369705727846,0.480028283446592,-6.25103522079562
"107","141471_at","Set2","32301","SET domain containing 2",0.278701709345171,6.43836293910052,2.05652363561741,0.0535676715062979,0.181339448953,-4.95230719534191
"108","141473_at","kek1","34688","kekkon 1",0.310897071661339,5.71192877864451,1.79645916482518,0.0881588797378619,0.248330007958953,-5.38901134704764
"109","141474_at","park","40336","parkin",0.0382915438981923,5.57864574442825,0.193718987659292,0.848428790140665,0.931684307157141,-6.92321339390812
"110","141476_at","CG18324","36568","uncharacterized protein",-0.0315886177562064,5.62046569387983,-0.215159668056223,0.831909720111455,0.921178472281824,-6.91865416516259
"111","141477_at","CG6236","41857","uncharacterized protein",-0.18224591617556,5.5068383188575,-1.26827421969946,0.219849469403244,0.44061751234057,-6.13792323640476
"112","141479_at","Atg9","36821","Autophagy-related 9",0.0579297767246327,7.17453861992723,0.579863836808662,0.568743085648066,0.759732983894026,-6.76903009381721
"113","141484_at","CG10672","38598","uncharacterized protein",-0.2383110578364,7.89569365519818,-1.62181140443785,0.121135262649267,0.309121156865024,-5.65866248446407
"114","141486_at","Csp","40459","Cysteine string protein",0.370397966848151,9.08656925112228,1.8776065706783,0.0756977026691301,0.226309652077691,-5.25704821449907
"115","141487_at","RpI135","33210","RNA polymerase I 135kD subunit",0.335131679667345,3.88037457478995,2.26352866368801,0.0353607976152572,0.137243797491875,-4.57821316725665
"116","141488_at","aft","37034","adrift",0.0673982031355864,5.59370013369769,0.69849892130509,0.493231967810012,0.701505384939179,-6.69165811361909
"117","141491_at","Ankle2","32732","Ankyrin repeat and LEM domain containing 2",0.569932213006514,6.06722228257101,4.02190825891876,0.000714804108092926,0.00913678495500113,-0.846775721470829
"118","141493_at","fog","33148","folded gastrulation",0.43577730334193,4.59385462329446,2.4104232442828,0.0261045292908646,0.111224631467447,-4.30031791517515
