"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","141200_at","Hmg-2","37407","High mobility group protein 2",-0.43356842427156,5.30933840364149,-4.55473218696936,0.000210959070248242,0.000389171447103235,-0.466647523610269
"2","141204_at","GCS2beta","35056","Glucosidase 2 beta subunit",-0.00962020089562721,6.4096045165812,-0.068019620027966,0.946472739031903,0.948782013752441,-7.84903687092498
"3","141205_at","Naa60","39142","N(alpha)-acetyltransferase 60",-0.495252139809137,6.07520008820057,-3.61069618052001,0.00183538181212511,0.00276799060916194,-2.62690610508823
"4","141217_at","Dak1","43165","Dak1",1.13854759603341,6.47182684574118,9.46492205372084,1.14142122196739e-08,8.96920064037761e-08,9.60464408183744
"5","141218_at","Hrb27C","33968","Heterogeneous nuclear ribonucleoprotein at 27C",0.511630923823316,3.1042755847444,4.40141481109306,0.00029940295780664,0.000530223464687128,-0.819024938842857
"6","141219_at","CG7099","34753","uncharacterized protein",-0.458122211593407,5.28966394282203,-4.70309624792009,0.00015052027565356,0.000290144981755789,-0.126115003666694
"7","141223_at","CG7810","34139","uncharacterized protein",-0.766991488291845,5.77508388797543,-6.55677717229414,2.65418184468445e-06,8.75393002902808e-06,3.98961082999833
"8","141224_at","ArfGAP3","40487","ADP-ribosylation factor GTPase activating protein 3",0.0228516247881752,5.58359461983452,0.134871089325497,0.894116361940643,0.899118411517933,-7.84191703553351
"9","141226_at","GlyS","41823","Glycogen synthase",1.54976284956654,7.0157773505973,13.9604743601668,1.63267930593134e-11,4.11893481040223e-10,16.3667318370937
"10","141227_at","CG8370","36761","uncharacterized protein",-0.692027525940285,7.60890336143131,-8.38127706229397,7.64355883171929e-08,4.36168158730648e-07,7.64130364336603
"11","141228_at","Iru","41080","Iruka",-0.660950481438767,7.43163529756742,-7.70125684548529,2.72194493212943e-07,1.26373977285093e-06,6.33172282301469
"12","141229_at","Arp6","32514","Actin-related protein 6",-0.764284397004992,7.28626665298169,-7.58261957192474,3.41855368796631e-07,1.53861665204869e-06,6.09697399005144
"13","141231_at","Rpn7","42641","Regulatory particle non-ATPase 7",-0.728269764900197,8.92632427360784,-8.51653790316842,5.98015611294042e-08,3.553828135496e-07,7.89454758495832
"14","141234_at","CG11367","40491","uncharacterized protein",-0.309064422109689,5.58593491795482,-2.72187068238629,0.0134432439052942,0.0173531281290961,-4.56108460774904
"15","141236_at","Tmtc3","37401","Transmembrane and tetratricopeptide repeat containing 3",-0.0897022464542552,5.90904806674176,-0.933646700289503,0.362069447248366,0.386386541850205,-7.40371490266111
"16","141237_at","CG9705","39875","uncharacterized protein",0.387192733239834,7.12930214340944,2.59481148718157,0.0176760807172631,0.0224740973222143,-4.82033842879324
"17","141240_at","CG1103","40547","uncharacterized protein",-0.0238746449403981,5.32599953720985,-0.105374598604977,0.917170661896609,0.921335251000575,-7.84563623549011
"18","141241_at","CCT7","41054","Chaperonin containing TCP1 subunit 7",-0.529865122515946,6.49936357716119,-5.02601511855608,7.25890146275433e-05,0.000148799719222248,0.611944420541684
"19","141242_at","Jabba","37164","jabba",-0.768753230769,7.12979316105098,-7.64869540925738,3.01039210294442e-07,1.37645273260225e-06,6.22794995844311
"20","141245_at","Mcm2","40973","Minichromosome maintenance 2",0.516618414192884,4.18211796926678,4.03373003184283,0.000695661491074854,0.00113035166572389,-1.66356422334805
"21","141246_at","Sf3a2","39456","Splicing factor 3a subunit 2",0.484547442719969,8.06199922246381,5.80039212797279,1.31502015691653e-05,3.42572280008329e-05,2.35104850585014
"22","141248_at","dlp","39596","dally-like",0.0868365027394056,6.66013894775385,0.48741902519921,0.631475081176923,0.650240720896824,-7.72744853685296
"23","141251_at","GILT1","41650","Gamma-interferon-inducible lysosomal thiol reductase 1",-0.368226995096335,6.49322477994212,-2.01181665269858,0.0584728518536715,0.0686679958885909,-5.92259285633611
"24","141253_at","Elp2","36123","Elongator complex protein 2",-0.593627530667407,4.51824051967634,-5.60749520783696,2.00029597860617e-05,4.88772407346759e-05,1.92293965268681
"25","141254_at","CG2182","40697","uncharacterized protein",-0.575756910518718,8.18408634596715,-6.23609022515258,5.18456340907405e-06,1.5246221231592e-05,3.30315145762245
"26","141256_at","Xpc","36697","Xeroderma pigmentosum, complementation group C",-0.268496294093952,5.17040709733213,-1.82731973053461,0.0832232722569941,0.0960722217583529,-6.23458768661222
"27","141257_at","Gs1","33172","Glutamine synthetase 1",-0.160479071915566,4.71430994514226,-1.06806352640692,0.298725299593113,0.321291683481598,-7.26943266422917
"28","141258_at","l(2)k09848","35536","lethal (2) k09848",0.410580309067997,3.52334354307642,2.72481523069825,0.0133576418534964,0.017258121280618,-4.55500999421132
"29","141260_at","CG4572","42360","uncharacterized protein",-0.846360930648904,5.85658505603498,-5.15131193991186,5.48286132750698e-05,0.000115776131996403,0.896693343696134
"30","141262_at","mats","42634","mob as tumor suppressor",-0.826623029718695,5.36267137747425,-6.32888143360138,4.26554237837489e-06,1.29133682949539e-05,3.50307306185712
"31","141264_at","stg","43466","string",0.285368282833448,5.09837054725676,1.65907996721696,0.113331285054895,0.128071031755551,-6.5004715206276
"32","141267_at","Wdr62","33367","WD repeat domain 62",-0.354299271188494,4.41243536749073,-2.62963265715401,0.0164048534945451,0.0209504256884155,-4.74986190823343
"33","141268_at","CG32486","38367","uncharacterized protein",0.462316892369281,6.16074670310814,5.52389530889821,2.4022582391972e-05,5.71928368868474e-05,1.73625174736807
"34","141271_at","Dmtn","40792","Dementin",-0.804935299367739,6.343755134694,-7.15313732811072,7.92477625028522e-07,3.09669245867123e-06,5.23151028564181
"35","141276_at","Sodh-2","41313","Sorbitol dehydrogenase-2",0.0939687915782539,5.60805667152878,0.291603524950688,0.773714060545893,0.786568270813004,-7.80690309938914
"36","141278_at","gw","43808","gawky",-1.10587391165981,10.1326829794791,-7.90475239509622,1.84941570405458e-07,9.2988104280786e-07,6.7300246083708
"37","141281_at","Spt6","44000","Spt6",-0.920064694587261,5.76876101829698,-8.92928188903503,2.86902156462971e-08,1.91445615310326e-07,8.65273318655719
"38","141283_at","CG34310","5740536","uncharacterized protein",0.688556701368672,5.87599578481644,3.99710633482914,0.000756694901115226,0.00122192843099797,-1.74746324838514
"39","141292_at","CG1236","40708","uncharacterized protein",-0.845148414262319,5.4075376559627,-4.69053608309018,0.000154875447763906,0.000296750025162555,-0.154917611580373
"40","141298_at","CG9186","38150","uncharacterized protein",-0.664541414166671,7.15076205120433,-7.05641774177109,9.60972144101814e-07,3.63652090320634e-06,5.03323943426878
"41","141301_at","tok","42944","tolkin",-1.3493491555958,5.89990443068135,-10.6096891956126,1.78099953548457e-09,1.89009397197551e-08,11.5239562308839
"42","141309_at","CG7611","40386","uncharacterized protein",-1.52435743611813,7.1333033433704,-12.9610688879404,5.97142104679453e-11,1.18440047797111e-09,15.0299535836845
"43","141311_at","verm","40149","vermiform",0.933587959452183,4.35162657490719,3.17016119121531,0.00498804405777103,0.00691354925790336,-3.60701616066667
"44","141315_at","CG16926","50205","uncharacterized protein",0.400452015397078,5.59686567797646,1.82405053078475,0.0837344398744667,0.0965598432553994,-6.2399293935403
"45","141325_at","CG2147","31759","uncharacterized protein",-0.442739339527066,5.35131856291353,-4.32981418680425,0.000352716825919582,0.000614051810741355,-0.983642893820852
"46","141326_at","Akap200","34170","A kinase anchor protein 200",-1.0468917373437,11.7610258703707,-13.5960537981253,2.59604897587912e-11,6.11986627428553e-10,15.8888582254839
"47","141328_at","mthl8","38013","methuselah-like 8",-0.406255062575371,3.96595508257229,-1.67469962621887,0.110189898931735,0.124766200522704,-6.47658113996122
"48","141329_at","poe","46243","purity of essence",-0.581165231914007,9.23922721885332,-5.57700314427953,2.13826023550688e-05,5.17150047193085e-05,1.8549252684512
"49","141331_at","Tsp42Ep","35626","Tetraspanin 42Ep",0.884349772240705,4.60141272873329,4.51554508777805,0.000230682290659373,0.000420965906050988,-0.556682305806602
"50","141332_at","Nhe1","33167","Na[+]/H[+] hydrogen exchanger 1",-0.510233104270425,5.58380037022318,-4.05472002778596,0.000662928508435652,0.00108451785566606,-1.61545135985064
"51","141333_at","Saf-B","42958","Scaffold attachment factor B",0.525071297698847,6.5745123731321,3.20251721325769,0.00463794709043794,0.00646883406018406,-3.53620824673045
"52","141339_at","Pen","34338","Pendulin",1.11147742358668,7.25977335789782,6.79129600387812,1.64066839917898e-06,5.70563762519801e-06,4.4834735376824
"53","141345_at","CG5844","41533","uncharacterized protein",-0.370144268993058,6.37115334718998,-4.97362912066971,8.16588026367999e-05,0.000165621097590576,0.492589432549952
"54","141346_at","CG13397","46386","uncharacterized protein",-0.370268623186741,5.68974182372462,-4.52108401402342,0.000227785245171262,0.000416471942220312,-0.543954576731551
"55","141348_at","Nrx-1","42646","Neurexin 1",0.0645415413790946,8.19634830550722,0.461781446222741,0.649422563186886,0.668004038528428,-7.74008187510588
"56","141350_at","CG3756","33712","uncharacterized protein",0.42926406329159,5.59875226966972,3.49115041107512,0.00241128086151708,0.00355998139513507,-2.89588948379694
"57","141352_at","Dtg","41558","Dpp target gene",-2.78236392925477,6.70714957138176,-13.7954159883884,2.01179018780547e-11,4.90331235604114e-10,16.151609261976
"58","141354_at","CG10132","35239","uncharacterized protein",0.690486211427481,6.8312340469445,5.17905672221586,5.15357849463562e-05,0.000109627897563403,0.959597449055341
"59","141355_at","CG8031","41601","uncharacterized protein",-2.02867251585419,8.38716712667763,-14.767955427937,6.05000182868708e-12,1.75755608679839e-10,17.3887725651076
"60","141356_at","CG7430","39988","uncharacterized protein",0.385923911947742,6.33510709199039,4.03525746705656,0.00069322588235455,0.00112703088617958,-1.66006372907887
"61","141358_at","RpS10b","32953","Ribosomal protein S10b",0.134340935305188,9.06411636828152,1.25084070919511,0.22600745700548,0.246117927431942,-7.06146820647635
"62","141359_at","CG3702","33628","uncharacterized protein",-0.348342442867003,6.35384092191134,-3.14106869988706,0.00532472610680749,0.00734480205428217,-3.67049037026597
"63","141361_at","Ctl2","43440","Choline transporter-like 2",-4.40329157019485,7.19686276654754,-42.4701913600292,1.81551326686268e-20,1.74047205183236e-17,36.8495401082965
"64","141363_at","Sec24CD","33409","Secretory 24CD",-0.36643320001984,4.94254944224293,-2.58079790550137,0.0182135058021118,0.0230943369823056,-4.84857430875723
"65","141370_at","ppl","40349","pumpless",0.502318813958968,5.13224563805674,4.90057680218108,9.62666713518961e-05,0.000192533342703792,0.32587962537329
"66","141373_at","Cht10","3355116","Chitinase 10",0.841744241885131,3.15645699675642,2.46577104398329,0.0232442999684181,0.0288646833804708,-5.0774618293469
"67","141374_at","AttA","36636","Attacin-A",-0.760411848667601,6.1141188143163,-2.73707229405023,0.0130068626402268,0.0168427451388078,-4.5296925647447
"68","141376_at","Best1","53431","Bestrophin 1",-0.329934611857891,3.43630962692073,-3.27134561701979,0.00397113383891971,0.00560206392014355,-3.38487335508364
"69","141378_at","Sep4","32646","Septin 4",-0.21815582314051,3.99874468262494,-2.10912610166425,0.0482730613034429,0.0573928583334856,-5.75015006605523
"70","141381_at","CG30069","36573","uncharacterized protein",1.28846975742979,4.55436403646996,7.86502550636906,1.99348650839407e-07,9.84473494962373e-07,6.65269910988805
"71","141387_at","mge","38459","maggie",0.538242291486915,7.2559213797433,5.64460709248187,1.84459723518921e-05,4.54200483596247e-05,2.00559706662554
"72","141388_at","dap","36001","dacapo",0.158313210726599,5.75620701511039,0.731934826904138,0.473040537414597,0.495796131780022,-7.57393876650891
"73","141392_at","CG16791","42531","uncharacterized protein",-1.14543000119802,5.9417013198606,-9.18516789516148,1.8391493770867e-08,1.31905077518737e-07,9.11192564402537
"74","141396_at","Fbp2","34259","Fat body protein 2",1.24846526243287,8.19722875870842,2.38815106984102,0.0273455613927791,0.0336524752099413,-5.22885241938478
