"";" Pre82";" Pre83";" Pre84";" Pre85";" Pre86";" Pre87";" Pre88";" P0_89";" P0_90";" P0_91";" P0_92";" P0_93";" P0_94";" P0_95";" P5_96";" P5_97";" P5_98"
"151494_at";10,9998305507836;11,1984842020422;11,0456833114941;11,3340491929908;10,9824096563125;10,8404143758585;10,8251436712153;11,4704881895586;10,8382204788465;11,2163344856283;11,6693693356225;10,8027203270168;11,3889532313991;11,2891794234916;11,4565296000867;11,6037667759731;11,3234374066919
"153135_at";4,87548640117809;4,92568613459547;4,78044234116893;5,2471192832242;5,13769105585447;4,7526767900554;4,64310344323811;5,95759792484331;5,7948751270997;5,71491455074108;5,71744642795408;5,63872691612323;5,61209891689279;5,29347229996541;5,55501215538666;5,75451829240228;5,8972819197177
"154994_at";4,90731683068029;5,37052565610624;5,31968082628386;5,52674441581947;5,28531341677813;5,52431902011815;5,24967258985495;6,62758549114032;6,62242289403382;6,66131618323203;6,55238090397957;6,21966890077104;6,33756663997605;6,2551706205323;6,68486942952139;6,47336422044994;6,71537656558728
"152298_at";6,71191685160931;6,86489838094728;6,865596258687;7,22281203853158;7,34051204275444;7,41767608791433;6,61377091618251;7,73007047484494;7,57194418194515;7,66351999966413;7,2909523573658;7,31669026322055;7,16305340423772;7,56822824186771;7,7332334332268;7,64420271556918;7,47579691904815
"143798_at";8,98495978970954;8,75445966082511;8,69757214176962;8,93221935627618;8,22984945288395;8,23000059628966;8,47996661630122;5,98332753495347;5,63948166780707;6,01733527402819;6,165188538877;5,84018174825344;6,23511008004842;6,54911360341017;4,4027517647508;4,33625141939731;4,27827156122293
"152911_at";6,36461144796486;6,57028279446725;5,95526527005484;7,18749565337512;7,18532298618908;7,24052682276705;5,87205656494235;6,56045778215887;6,31190048171721;6,6562135556745;5,42910180799982;5,65307415800445;6,11920971265797;4,99783518280109;5,28890394019696;5,34287142698421;5,43289837068108
"145162_at";5,33234022280773;5,45405416327478;5,20069021707347;6,22231529491257;5,60718625906424;5,40289706401881;5,21317902457853;6,15475434499383;6,26447634166615;6,56765045414563;6,11068020649489;5,99159086560564;6,15763719984983;5,39043409331149;6,01885171941537;5,83514210464364;5,7622852516724
"141915_at";4,88533163994544;4,71387898950002;4,07570519661497;4,62088148199556;4,74904111103589;3,74790655797225;4,0147702172204;4,8840494212265;4,91332096913922;5,3549312737558;4,39446898320009;4,59181131233023;5,35621256171147;4,16856492575162;4,70675151945628;4,24632783315367;3,50408921023421
"144536_at";5,14856703232631;4,77914143089898;4,61606438773978;4,67090042167198;4,68638092732297;4,908375573813;4,5714997058059;5,2674875194136;5,9425275591124;5,86708928421633;5,24752009137972;6,11887742093064;5,44383466845771;5,43812632539116;5,75838798509735;5,51554253230584;5,401890232335
"147490_at";5,22345030299844;6,18001919328912;5,73832382597412;5,47796441378453;5,58251834478023;4,84203324889614;5,42668734008021;5,05322869397997;4,9259849412055;4,23249382338336;4,8141462060699;4,84285689477551;4,8366373043533;4,95074614483305;4,60683645821365;5,14990510534865;7,28848741013632
