"";" Pre82";" Pre83";" Pre84";" Pre85";" Pre86";" Pre87";" Pre88";" P0_89";" P0_90";" P0_91";" P0_92";" P0_93";" P0_94";" P0_95";" P5_96";" P5_97";" P5_98"
"141200_at";5,04809243108407;5,14888428418332;4,89517676363385;5,1666995920117;5,11717036685852;5,06151631711405;4,91582786860708;5,57117553825333;5,58341933138162;5,39205182599536;5,5673351281928;5,51587713605413;5,5030084879504;5,25547914556588;5,87092009176864;5,30720721949707;5,33891133375342
"141201_at";5,76532942282619;5,27013170956042;5,59859446706378;5,44891339943467;5,37363050252455;5,45017937693686;5,40737873026578;5,62825180317753;5,69089440356598;5,59178150364282;5,84683315292549;5,79090196847314;5,83873452250761;5,96969601860975;5,42075333825288;5,6016088547404;5,50906470812309
"141202_at";6,81444710430362;6,21467739399286;6,26890899524038;6,62775660245325;6,44961413024144;6,46953248859706;6,27513183876381;6,37281118139691;6,53083145188352;6,67543200313054;6,13473001606985;5,87972000367238;6,67017548629256;6,24517950223647;6,63471899052975;6,54034013151229;6,50676698507303
"141203_at";6,46249511983221;6,35296245883462;6,02491573987651;7,69012775546382;7,29915931886691;7,11523078411501;6,33606984498425;8,71691767501464;9,07514496224512;8,80066541979821;8,74173261065888;9,02760307827077;8,71625896159131;7,03629661530457;8,17628767040222;8,38803285834862;8,26693436042923
"141204_at";6,18978710113694;6,39428432372168;6,30616206977092;6,51114922582087;6,15836499239587;7,05715917738472;5,87407008690484;6,60475991725754;6,15385058577297;6,54535145044391;6,41783441219077;6,34957196198616;6,47134080399192;6,01560925176197;6,68553336732179;6,6213685901996;6,60707946381789
"141205_at";5,86831800435346;5,8916292689852;5,6666732441758;6,11821575085282;5,91320209627913;5,85692680801284;5,30811174421806;6,61029381622098;6,46374167769908;6,55262879484901;6,29097748650641;6,0610847024527;6,39194454714143;5,71917087067166;6,0462065674447;6,22232561944806;6,2969505000984
"141206_at";8,03398197593579;7,90862080647524;7,98182649373934;7,97418610938056;7,76998381701003;8,1671677745368;7,7732001243464;8,00447805531426;8,11488668251931;7,99503345415568;7,84506100921707;8,02856923646583;7,81423388313218;8,12763757209089;8,17601360439517;8,25308896288572;7,94333536581966
"141207_at";2,7230320462614;2,80195807742568;2,47369358711969;2,7998073349403;2,74538585457489;2,65566553527793;2,72941122188651;3,08409073528649;2,96980253292035;2,93471994143051;3,03946121549014;2,69202040839888;2,55766789836455;2,77124350391523;2,72163807316289;3,06802782512836;2,85491696703222
"141208_at";4,99340605569849;4,0686815808551;3,80152577165521;4,45607419583784;4,18178409028274;4,24470589929228;3,95451787961587;4,01891514334775;4,20212751822895;4,27975335087334;3,83206642611511;3,63209222907861;3,91145609062243;4,0686815808551;4,37835426322037;3,9847397559626;4,11042764632468
"141209_at";5,75582042918784;5,58565729176949;6,02702051668633;6,1964911617363;5,79535786030113;5,74469261697361;6,17264350984838;6,09062252137244;5,69524245241424;5,7838115048647;6,02757205870923;5,93094607893336;6,07684382347874;5,91218506199931;6,09355405932781;5,99687838994924;5,93006320964344
"141210_at";4,03346962234198;3,84055121275539;3,89583825126046;4,18568657114479;4,0008389360812;4,07653043154293;3,83192630424572;3,78552052906382;4,3108910604252;4,48257538190126;3,87993579951231;4,05740360825658;3,98665062363797;3,99891560953162;4,12400447516309;4,07076078135344;3,93445977235917
"141211_at";4,68271367902765;4,70740108723706;4,60009054280646;4,67181025302826;4,50356664529648;4,58994027411266;4,52762897363227;4,54344305323166;4,56575871446058;4,64825411440034;4,71983223677466;4,39823079014551;4,61790054417959;4,81376128031851;4,98111496050638;4,62773123228471;4,48412120436301
"141212_at";8,58279757220537;8,47902571623384;8,38035769463315;8,62288760565517;8,50021434361392;8,5515937403205;8,20373201436442;7,31976125698386;7,3966580460901;7,33638838281702;7,28204212437594;7,62948430397947;7,284022387048;7,33034839870424;7,77121894255162;7,67121914265937;7,550838433756
"141213_at";3,04166720148765;2,95421923821021;2,96334640690468;2,61562223288018;2,9737379223203;2,93205848346385;2,92895297245546;2,9879796220715;2,96132639672142;2,92734308467917;2,76953381622003;3,16040297925964;2,82372281673799;3,18848870045578;2,97682897320286;2,82477573756526;2,79113237202223
"141214_at";8,44258101984017;8,36493172283406;8,27254463436634;8,59487606189927;8,0425864646972;7,80432407586676;8,13718310668695;8,76342956468903;8,47252698497658;8,617387121792;8,66445041544695;8,34514845338535;8,59090583543433;8,47855545640442;9,07748288890214;9,05004743025046;8,87781837649549
"141215_at";7,54212303756707;7,40168965355212;7,62761002334934;7,58071846418503;7,52262645034529;7,55767745631736;7,44347948625396;7,5619738718954;7,47969556131015;7,59425990665301;7,60510032033494;7,55303279594523;7,6394984974789;7,63489981374347;7,82966924664319;7,73609696194431;7,74312910519615
"141216_at";5,4941009665575;5,567041888077;5,35665752268451;5,6037613260211;5,43734741514285;5,41995037290819;5,18539227107196;5,5360687836185;5,63962166444767;5,39258667757029;5,48204656224558;5,29839025989893;5,61491978974098;5,4846177765955;5,26876961732979;5,30781876479672;5,39067168023545
"141217_at";7,18338984298285;7,06262869516853;7,09659104563823;7,29749051679174;6,62046614760481;7,12309709149587;7,15881978761736;6,04827950591451;5,7673973204857;5,6202663114724;6,33847376708863;5,83436598186969;6,03101242503253;5,93285464320209;6,43798669221482;6,01789125471622;6,4500453483041
"141218_at";3,48688185217058;3,93754413807244;3,30243016716889;3,5764802078734;3,26513416204678;3,11608797773233;3,16570201034489;3,06047638458735;2,88436941635906;3,03137976786485;2,87410793436931;2,79970938663524;2,80733927427959;2,81146188455069;2,63980795291794;2,9526276341593;3,06114478952224
