"";" Pre82";" Pre83";" Pre84";" Pre85";" Pre86";" Pre87";" Pre88";" P0_89";" P0_90";" P0_91";" P0_92";" P0_93";" P0_94";" P0_95";" P5_96";" P5_97";" P5_98"
"clt";4,90731683068029;5,37052565610624;5,31968082628386;5,52674441581947;5,28531341677813;5,52431902011815;5,24967258985495;6,62758549114032;6,62242289403382;6,66131618323203;6,55238090397957;6,21966890077104;6,33756663997605;6,2551706205323;6,68486942952139;6,47336422044994;6,71537656558728
"prt";8,98495978970954;8,75445966082511;8,69757214176962;8,93221935627618;8,22984945288395;8,23000059628966;8,47996661630122;5,98332753495347;5,63948166780707;6,01733527402819;6,165188538877;5,84018174825344;6,23511008004842;6,54911360341017;4,4027517647508;4,33625141939731;4,27827156122293
"Desat1";6,36461144796486;6,57028279446725;5,95526527005484;7,18749565337512;7,18532298618908;7,24052682276705;5,87205656494235;6,56045778215887;6,31190048171721;6,6562135556745;5,42910180799982;5,65307415800445;6,11920971265797;4,99783518280109;5,28890394019696;5,34287142698421;5,43289837068108
"CG30053";4,0985257121337;4,58623046562451;4,49893040607197;4,53894760588964;4,59334345558087;4,70293344271015;4,50743123050639;5,64125008067624;5,54304430122561;5,5089476563034;5,50235899135423;5,45749987103659;5,74046551825429;5,40887155008311;8,36902399423573;8,33853440074052;8,14043646914749
"CG30392";6,93849197502644;7,04774614763917;6,93347826939673;7,65764852947653;6,87022325166667;7,11715334540756;6,59810218195797;7,73657654037041;7,60066562051163;7,93595780832145;7,65491484385774;7,52191386108718;7,98650525869225;7,53144692993901;8,24837920241619;8,21018843041384;8,35239647672175
"hoe1";7,69654207107305;7,98080828807181;7,45426321168627;8,35470673653347;7,75812334825191;8,06074347921894;7,4897918691272;5,17320858738322;5,27100724429061;5,40269706030194;5,06824048982284;4,68832971313083;5,36639003679088;4,94448706966558;5,85974515352662;5,88301046065331;6,0011826600417
"bru2";4,58549464802874;4,50125342988273;4,21026223023871;4,53762082878686;4,59080200401181;4,09619648242215;3,80091110667929;3,28894097177231;3,25414356606732;3,48632250782401;3,21785167836873;3,48761317167466;3,22588015597605;3,33069260468452;3,37923248124898;3,19539227855449;3,42948340973643
"DIP2";7,59145601075462;7,54138445240118;7,49669411331664;8,35760938756368;7,98876440665037;7,86564056302719;7,47724757162326;8,95325601906072;8,90844508157075;9,02268645928066;8,86172057849066;9,08075792276113;8,99363514330728;8,28120736856182;8,47138379707319;8,68082741168479;8,65751504430218
"CG9125";6,55870174832781;6,05443801976388;6,5087242738798;6,36466926277689;6,04902949443307;6,13909349526232;6,43649021389727;7,40457986278868;7,19810297698836;7,11493950091755;7,20514403046907;6,76329034278077;7,07796098832575;7,39486320709471;7,42645219068268;7,49992691387745;7,16744179839837
"Rab27";8,63342656471733;8,61485528222009;8,72262486394632;8,37664762076322;7,59686792877486;7,50074081213406;8,50984232815319;5,41685981051189;5,1353849622414;5,526510254409;5,80032713848282;5,46351514855336;5,59093020263179;6,1309685771726;5,5221516964814;5,27890506853625;5,410793861591
